paper_ref,label,log,path_tasks,tasks_logged,makespan_ms,compute_ms,expert_a2a_ms,dp_allreduce_ms,pp_p2p_ms,other_ms,intra_TB,cross_TB,note
decomp,glassfb EP=16 q=1064,glass_mb8_q1064.log,296,29276,86.750,82.281,4.458,0.002,0.009,0.000,0.266,0.064,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,nvl64_pkt EP=16 q=544,nvl64_mb8_q544.log,294,29276,130.797,77.677,53.113,0.001,0.006,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,glassfb EP=32 q=2133,gt_k4.log,296,58204,75.542,62.526,13.005,0.003,0.008,0.000,0.295,0.396,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,nvl64_pkt EP=32 q=1088,nvl64_pkt_ep32_q1088.log,295,58204,119.397,54.518,64.866,0.001,0.012,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,glassfb EP=64 k16,k16.log,296,116060,59.485,23.644,35.830,0.003,0.008,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,glassfb EP=64 k32,k32.log,296,116060,39.410,23.636,15.762,0.003,0.008,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,glassfb EP=64 k64,k64.log,296,116060,39.395,23.470,15.914,0.003,0.008,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,nvl64_pkt EP=64 q1088,nvl64_pkt_ep64_q1088.log,296,116060,81.272,20.030,61.226,0.004,0.012,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,nvl64_pkt EP=64 q2176,nvl64_pkt_ep64_q2176.log,290,116060,82.502,19.468,63.018,0.004,0.012,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,nvl64_pkt EP=64 q544,nvl64_pkt_ep64_q544.log,296,116060,86.163,21.217,64.930,0.004,0.012,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,nvl64_pkt_s1 EP=16 q=2400,12903630_ep16_q2400.log,296,29276,88.842,81.663,7.171,0.001,0.006,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,nvl64_pkt_s1 EP=32 q=4800,12903630_ep32_q4800.log,296,58204,69.364,62.134,7.217,0.001,0.012,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,nvl64_pkt_s1 EP=64 q=9600,12903630_ep64_q9600.log,296,116060,29.327,22.477,6.834,0.004,0.012,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,glassfb_800 EP=128 mb=8 g128b800_q34133,g128b800_q34133_12922362.log,296,231772,194.609,162.039,32.558,0.003,0.008,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,glassfb EP=16 mb=16 g16m16_q532,g16m16_q532_12905292.log,296,29276,87.613,82.026,5.575,0.002,0.009,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,glassfb EP=16 mb=16 g16m16_q532,g16m16_q532_12905357.log,296,29276,87.613,82.026,5.575,0.002,0.009,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,glassfb EP=16 mb=16 g16m16_q532,g16m16_q532_12905468.log,296,29276,87.613,82.026,5.575,0.002,0.009,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,glassfb EP=16 mb=16 g16m16_q532,g16m16_q532_12905577.log,296,29276,91.471,80.447,11.013,0.002,0.009,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,glassfb EP=16 mb=32 g16m32_q532,g16m32_q532_12905303.log,296,29276,87.613,82.026,5.575,0.002,0.009,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,glassfb EP=16 mb=32 g16m32_q532,g16m32_q532_12905369.log,296,29276,87.613,82.026,5.575,0.002,0.009,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,glassfb EP=16 mb=32 g16m32_q532,g16m32_q532_12905474.log,296,29276,87.613,82.026,5.575,0.002,0.009,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
decomp,glassfb EP=16 mb=32 g16m32_q532,g16m32_q532_12905583.log,251,29276,102.703,69.067,20.634,0.002,12.999,0.000,,,"critical-path contribution per class, finish(T) minus max predecessor finish; contributions sum to the makespan by construction and that is checked, not assumed. Idle is NOT separable: start_time is not logged and a task starts when ready, so any wait is inside its contribution. The A2A class is NOT split intra/cross in TIME -- one task carries both and apportioning by byte share would be an assumption; the byte split is a separate column over all flows, not only those on the path"
