paper_ref,variant,substrate,hcp,tcp_C,p_pic_W,p_hi_W,p_lo_W,duty,period_s,n_periods,total_s,rise_s,total_over_rise,t_min_C,t_max_C,delta_pp_K,mean_last_C,mean_prev_C,drift_K,n_points_last_period,status,note
thermal,iter_86p75ms_lo0,glass,200000,60,43,700,0,0.5,0.08675,6,0.5205,0.044,11.8,63.759,86.338,22.579,74.9966,75.0369,-0.0403,205,final,"periodic 50% duty; P_lo is an ASSUMPTION (30% of TDP as the communication-phase floor, not measured); periods from this paper's own EP=16 row (86.75 ms iteration, /8 microbatch); PIC constant at 43 W; peak-to-trough over the last period"
thermal,iter_86p75ms,glass,200000,60,43,700,210,0.5,0.08675,6,0.5205,0.044,11.8,71.576,87.381,15.805,79.4422,79.4704,-0.0282,205,final,"periodic 50% duty; P_lo is an ASSUMPTION (30% of TDP as the communication-phase floor, not measured); periods from this paper's own EP=16 row (86.75 ms iteration, /8 microbatch); PIC constant at 43 W; peak-to-trough over the last period"
thermal,iter_86p75ms_lo350,glass,200000,60,43,700,350,0.5,0.08675,6,0.5205,0.044,11.8,76.787,88.076,11.289,82.4059,82.4260,-0.0201,205,final,"periodic 50% duty; P_lo is an ASSUMPTION (30% of TDP as the communication-phase floor, not measured); periods from this paper's own EP=16 row (86.75 ms iteration, /8 microbatch); PIC constant at 43 W; peak-to-trough over the last period"
thermal,mb_10p84ms_lo0,glass,200000,60,43,700,0,0.5,0.01084,40,0.4336,0.044,9.9,73.729,76.351,2.623,75.0351,75.0384,-0.0033,205,final,"periodic 50% duty; P_lo is an ASSUMPTION (30% of TDP as the communication-phase floor, not measured); periods from this paper's own EP=16 row (86.75 ms iteration, /8 microbatch); PIC constant at 43 W; peak-to-trough over the last period"
thermal,mb_10p84ms,glass,200000,60,43,700,210,0.5,0.01084,40,0.4336,0.044,9.9,78.555,80.391,1.836,79.4691,79.4715,-0.0023,205,final,"periodic 50% duty; P_lo is an ASSUMPTION (30% of TDP as the communication-phase floor, not measured); periods from this paper's own EP=16 row (86.75 ms iteration, /8 microbatch); PIC constant at 43 W; peak-to-trough over the last period"
thermal,mb_10p84ms_lo350,glass,200000,60,43,700,350,0.5,0.01084,40,0.4336,0.044,9.9,81.772,83.083,1.311,82.4251,82.4268,-0.0017,205,final,"periodic 50% duty; P_lo is an ASSUMPTION (30% of TDP as the communication-phase floor, not measured); periods from this paper's own EP=16 row (86.75 ms iteration, /8 microbatch); PIC constant at 43 W; peak-to-trough over the last period"
thermal,per_0p003s_lo210,glass,200000,60,43,700,210,0.5,0.003,84,0.2520,0.044,5.7,79.338,79.557,0.220,79.4473,79.4470,0.0003,205,final,"period sweep for the swing-vs-period figure; P_lo is an ASSUMPTION (30% of TDP as the communication-phase floor, not measured); PIC constant at 43 W; peak-to-trough over the last period; TCP=60 C"
thermal,per_0p010s_lo210,glass,200000,60,43,700,210,0.5,0.01,25,0.2500,0.044,5.7,78.629,80.264,1.634,79.4437,79.4452,-0.0015,205,final,"period sweep for the swing-vs-period figure; P_lo is an ASSUMPTION (30% of TDP as the communication-phase floor, not measured); PIC constant at 43 W; peak-to-trough over the last period; TCP=60 C"
thermal,per_0p030s_lo210,glass,200000,60,43,700,210,0.5,0.03,9,0.2700,0.044,6.1,76.194,82.702,6.508,79.4338,79.4443,-0.0104,205,final,"period sweep for the swing-vs-period figure; P_lo is an ASSUMPTION (30% of TDP as the communication-phase floor, not measured); PIC constant at 43 W; peak-to-trough over the last period; TCP=60 C"
thermal,per_0p100s_lo210,glass,200000,60,43,700,210,0.5,0.1,6,0.6000,0.044,13.6,71.023,87.949,16.926,79.4476,79.4779,-0.0304,205,final,"period sweep for the swing-vs-period figure; P_lo is an ASSUMPTION (30% of TDP as the communication-phase floor, not measured); PIC constant at 43 W; peak-to-trough over the last period; TCP=60 C"
